Total Volume, Total Energy, Total Energy (Particle) 
1.827600, 11568.536441, 11354.148842
1.828800, 11503.014710, 11275.722463
1.833200, 11455.107276, 11191.516825
1.842400, 11466.215725, 11101.497139
1.854800, 11515.338194, 11005.634276
1.852800, 11414.064305, 10903.912818
1.849600, 11315.420264, 10796.311660
1.853600, 11290.686374, 10682.812559
1.848400, 11168.191532, 10563.441067
1.846800, 11035.592054, 10438.224336
1.852400, 11029.694227, 10307.214478
1.850800, 10925.655414, 10170.477708
1.853200, 10884.722074, 10028.089175
1.850400, 10774.422399, 9880.153871
1.851600, 10717.527676, 9726.788743
1.852400, 10608.210523, 9568.123429
1.854800, 10548.072964, 9404.346878
1.851200, 10466.368389, 9235.662590
1.848400, 10370.169269, 9062.268057
1.853200, 10312.104460, 8884.403451
1.852000, 10197.311490, 8702.362742
1.853600, 10132.372340, 8516.453029
1.854000, 10038.922987, 8327.014853
1.852400, 9927.695943, 8134.411039
1.850800, 9818.448829, 7939.017777
1.848000, 9692.404721, 7741.220563
1.851200, 9644.657945, 7541.424473
1.850400, 9515.746608, 7340.025843
1.847200, 9362.940654, 7137.454690
1.850000, 9258.497665, 6934.124579
1.850400, 9117.671773, 6730.471361
1.850000, 9008.201480, 6526.936182
1.851200, 8874.327632, 6323.887900
1.851200, 8736.586384, 6121.756547
1.856400, 8645.393577, 5920.951797
1.854000, 8458.718886, 5721.879425
1.858000, 8347.752182, 5524.955561
1.852800, 8148.381931, 5330.576551
1.853200, 8000.539820, 5139.124216
1.857600, 7884.929532, 4950.930628
1.853200, 7681.006134, 4766.356713
1.851200, 7500.879020, 4585.679715
1.849200, 7348.575350, 4409.349636
1.852400, 7207.203545, 4237.756377
1.851200, 7040.687915, 4071.371570
1.856400, 6919.339818, 3910.963111
1.850800, 6719.999332, 3757.055008
1.849600, 6556.005704, 3610.170354
1.846800, 6351.133844, 3471.155910
1.846000, 6160.278896, 3342.042715
1.854000, 6062.540855, 3221.802006
1.853600, 5863.809478, 3112.823345
1.848800, 5604.162357, 3014.902626
1.848000, 5403.509325, 2927.669107
1.844800, 5236.490215, 2852.465424
1.850000, 4998.552834, 2790.864333
1.850800, 4853.327585, 2741.213648
1.847200, 4587.835931, 2703.574876
1.852400, 4472.575203, 2675.537117
1.849200, 4355.493521, 2655.518357
1.849600, 4285.170957, 2642.987546
1.853200, 4255.053473, 2637.992089
1.850000, 4196.833526, 2640.208163
1.850800, 4167.629765, 2649.779485
1.850400, 4146.679144, 2666.303717
1.854000, 4164.900024, 2689.722037
1.854000, 4171.885968, 2719.906347
1.856000, 4195.516578, 2756.868378
1.851600, 4197.967373, 2800.557667
1.856800, 4259.322459, 2851.032095
1.854800, 4273.142352, 2908.185228
1.852000, 4302.273680, 2972.138527
1.854400, 4358.741483, 3042.659730
1.856400, 4420.827810, 3119.649629
1.858800, 4497.025312, 3202.926307
