Total Volume, Total Energy, Total Energy (Particle) 
1.8484,11772.050541,11354.148842
1.8712,11962.080894,11323.234644
1.8688,11929.876535,11291.873443
1.8732,11904.613904,11260.921369
1.872,11861.263663,11230.576523
1.8684,11790.122175,11202.054655
1.872,11824.65909,11174.9076
1.8804,11844.869004,11151.243321
1.8764,11810.318656,11128.688408
1.87,11750.452529,11110.827783
1.8724,11753.427493,11097.288847
1.8744,11793.191447,11086.297501
1.8668,11769.072622,11076.91046
1.8564,11722.615225,11049.766039
1.844,11522.183388,10910.658686
1.8396,11614.244123,10882.478251
1.836,11330.515873,10836.307264
1.8336,11228.240744,10792.519179
1.8336,11074.507398,10757.225322
1.8272,10955.102228,10708.981745
1.822,10823.460826,10677.553105
1.8212,10792.37362,10667.617282
1.8168,10635.758573,10650.432492
1.812,10524.808067,10624.880322
1.8152,10480.553303,10614.143764
1.8136,10400.20556,10601.758618
1.8116,10351.924093,10597.170689
1.8116,10346.812391,10590.778245
1.8136,10311.730293,10584.02097
1.8152,10259.564065,10575.052815
1.8204,10303.809308,10564.941121
1.8156,10282.237513,10551.585396
1.822,10323.555565,10534.980829
1.8188,10290.16227,10516.765579
1.8296,10365.840536,10495.877254
1.832,10410.977395,10473.48139
1.8296,10335.936976,10449.524592
1.8404,10443.821217,10424.838884
1.8348,10366.745211,10399.651477
1.8424,10449.166529,10373.347432
1.8496,10472.012197,10347.162235
1.8464,10455.627567,10320.042539
1.8552,10544.945429,10291.576662
1.8632,10580.661353,10260.406479
1.8664,10602.542711,10227.240617
1.8668,10596.442263,10192.811227
1.8608,10420.491431,10164.878937
1.854,10253.931104,10145.760867
1.8528,10213.821678,10058.85967
1.8484,10216.865264,9996.867837
1.8336,10091.782723,9965.522566
1.8408,10192.712132,9884.614408
1.8316,10116.516309,9839.7399
1.836,10211.859645,9809.848365
1.8316,10207.615463,9780.891501
1.8304,10240.315482,9748.757952
1.826,10278.174042,9718.112522
1.8084,10138.072764,9517.278334
1.8064,9973.885612,9303.780809
1.806,9940.169343,9259.486758
1.7972,9388.221932,9245.273124
1.7952,9287.184383,9251.988158
1.8016,9295.15101,9259.300262
1.8048,9283.636147,9259.56785
1.8148,9463.030328,9256.48998
1.8124,9234.816237,9183.41979
1.8164,9144.167894,9131.419705
1.818,9089.950825,9099.700723
1.8092,8934.929132,9081.520783
1.8256,9104.719191,9065.393274
1.824,9035.059831,9048.968808
1.8224,9029.609409,9031.601768
1.8304,9086.476424,9013.751713
1.828,9042.499205,8995.631258
1.8228,8978.489013,8977.670633
1.8264,8975.230179,8961.610907
1.832,9061.475264,8946.960013
1.8284,9006.610904,8934.309847
1.8276,8972.139632,8922.634631
1.8312,9079.644199,8913.413656
1.83,8992.662139,8908.039299
1.8248,8967.675777,8903.117704
1.8228,8927.441224,8901.544349
1.816,8788.735918,8903.102301
1.8228,8883.880482,8906.705839
1.82,8856.049056,8908.347227
1.8192,8887.143966,8894.82609
1.8084,8713.255085,8874.436877
1.8016,8706.269178,8859.822225
1.8052,8795.458818,8852.478709
1.7996,8730.733251,8846.908248
1.7884,8603.545598,8841.717953
1.7976,8687.243968,8831.912714
1.7948,8651.785178,8814.156491
1.7936,8652.427877,8793.876283
1.796,8648.166319,8758.528259
1.798,8608.190894,8735.84148
1.7956,8583.364261,8736.991784
1.7984,8567.000025,8730.943613
1.7992,8558.395493,8705.163514
1.798,8529.904228,8687.45746
1.7976,8472.052381,8677.587713
1.8064,8527.341811,8658.248783
1.7984,8446.511985,8596.388411
1.8012,8448.893755,8563.464066
1.8052,8452.765602,8551.455486
1.8004,8379.651088,8531.139862
1.8072,8400.404369,8512.74912
1.8048,8369.621244,8494.426705
