Total Volume, Total Energy, Total Energy (Particle) 
1.827600, 11568.536441, 11354.148842
1.855200, 11796.407400, 11292.809547
1.852800, 11771.071580, 11172.068582
1.854000, 11732.698884, 10995.649028
1.852400, 11657.617108, 10773.538775
1.852400, 11560.096908, 10516.957747
1.852000, 11464.554242, 10235.850999
1.852800, 11359.026452, 9938.519724
1.852800, 11213.071276, 9632.760924
1.849200, 11043.327992, 9324.375954
1.849600, 10912.625725, 9018.698452
1.852000, 10802.510233, 8721.374067
1.850000, 10638.130150, 8437.194512
1.849200, 10458.969379, 8169.264997
1.850000, 10310.334730, 7917.435772
1.846000, 10125.725450, 7679.433710
1.847600, 9984.726968, 7450.531083
1.845200, 9807.690800, 7225.936754
1.848400, 9719.511642, 7001.002665
1.830800, 9484.203363, 6772.443857
1.818800, 9276.753776, 6570.288238
1.797600, 8743.210056, 6449.175418
1.798000, 8405.137070, 6399.945818
1.788400, 7724.603118, 6379.545372
1.785200, 7077.937872, 6386.282761
1.791200, 6824.179383, 6388.931306
1.792400, 6643.067266, 6389.000196
1.789600, 6557.746847, 6391.426717
1.792400, 6567.935201, 6394.256940
1.791600, 6555.324266, 6397.186789
1.790000, 6541.721561, 6400.365732
1.792400, 6554.427443, 6403.425301
1.794000, 6561.153827, 6405.551965
1.795600, 6563.968113, 6406.564875
1.798000, 6580.130333, 6406.308433
1.801200, 6601.251675, 6404.690249
1.798800, 6581.207823, 6401.832167
1.797200, 6573.878033, 6398.374484
1.801200, 6595.161070, 6394.761265
1.809600, 6655.591719, 6391.205907
1.808000, 6641.800268, 6387.530077
1.808800, 6647.109178, 6383.303284
1.816800, 6700.970607, 6378.312790
1.814000, 6679.899670, 6372.589459
1.818400, 6711.293619, 6365.978068
1.817600, 6705.689181, 6358.784250
1.823600, 6751.237343, 6348.669549
1.826000, 6765.137071, 6340.512601
1.826000, 6768.192291, 6332.514763
1.826000, 6767.181458, 6324.290070
1.822800, 6745.169293, 6316.402904
1.825600, 6763.665736, 6309.056865
1.832000, 6807.625269, 6302.928233
1.836400, 6838.922955, 6298.208561
1.839200, 6860.771864, 6295.158049
1.842800, 6887.468476, 6293.141061
1.849200, 6934.358360, 6292.181675
1.853600, 6965.802954, 6292.623645
1.860000, 7014.074844, 6294.606608
1.853600, 6966.827285, 6297.109818
1.858800, 7009.380341, 6300.730081
1.862400, 7035.649062, 6305.273413
1.862000, 7032.812755, 6310.067121
1.863200, 7035.259956, 6315.288356
1.857600, 6994.733666, 6320.243277
1.858800, 6999.886376, 6324.309738
1.866000, 7050.564591, 6328.180069
1.868000, 7063.747744, 6331.567383
1.868800, 7073.314184, 6333.842715
1.875600, 7119.777043, 6334.373120
1.873600, 7103.906756, 6334.298967
1.879600, 7146.975009, 6333.552442
1.884000, 7181.506194, 6331.995473
1.885200, 7185.306649, 6329.791290
1.886400, 7187.294024, 6327.122945
1.882800, 7163.331415, 6323.772964
1.880800, 7150.593652, 6319.037899
1.879600, 7136.926279, 6313.854010
1.884800, 7180.132508, 6308.790578
1.893200, 7241.099381, 6304.133003
1.884800, 7178.384537, 6300.020678
1.885200, 7181.182056, 6296.206279
1.887200, 7194.003538, 6293.416270
1.883200, 7162.583858, 6291.812374
1.891200, 7222.489538, 6291.516023
1.887200, 7193.932728, 6292.324317
1.888800, 7204.092400, 6294.744639
1.889200, 7206.214779, 6298.327409
1.890000, 7211.214813, 6303.145732
1.890000, 7213.306812, 6308.955151
1.898400, 7275.719597, 6315.126989
1.890000, 7213.456134, 6321.553964
1.888400, 7201.882319, 6327.865331
1.888000, 7197.461491, 6333.666274
1.890800, 7220.760432, 6338.607789
1.899600, 7284.070900, 6342.872194
1.897200, 7266.095985, 6346.123953
1.897600, 7270.661348, 6348.212235
1.900000, 7287.903607, 6349.009233
1.908400, 7352.190519, 6349.347273
1.904000, 7317.510214, 6348.797369
1.910800, 7368.161319, 6347.462121
1.905600, 7329.192235, 6345.379173
1.910800, 7368.652595, 6342.630806
1.917200, 7414.722774, 6339.591001
1.922800, 7459.988441, 6335.852537
1.919200, 7430.981505, 6331.862712
1.923600, 7469.248340, 6327.135750
1.921200, 7452.227125, 6321.231691
1.920400, 7443.293985, 6316.263497
1.922400, 7451.825560, 6311.531142
